69.08, 66.01, 62.15
55.99, 8.16, 33.90
56.49, 5.79, 11.66
7.94, 35.14, 20.45
82.91, 26.76, 13.98
46.24, 15.98, 42.32
31.98, 26.87, 56.80
73.16, 36.86, 16.50
67.18, 42.88, 91.93
76.84, 87.66, 67.55
10.08, 6.81, 98.40
96.67, 90.27, 26.03
51.29, 27.71, 51.68
56.44, 69.13, 26.16
93.73, 8.19, 24.71
79.17, 20.52, 78.75
0.47, 73.95, 14.16
63.02, 2.79, 88.58
6.13, 47.94, 7.18
52.67, 77.85, 21.58
88.19, 50.20, 36.44
15.00, 29.54, 39.83
25.30, 93.39, 3.68
27.47, 59.63, 25.48
30.41, 90.30, 89.05
20.99, 51.53, 2.41
2.08, 76.68, 98.58
73.15, 20.91, 91.41
52.73, 74.64, 8.78
85.87, 29.88, 48.01
8.41, 3.43, 63.51
91.00, 36.96, 69.34
52.06, 35.23, 1.56
59.14, 72.49, 75.68
41.32, 27.52, 46.84
86.79, 74.13, 33.04
62.76, 15.06, 13.24
50.75, 96.56, 53.35
37.17, 89.07, 68.47
82.53, 57.43, 77.18
47.88, 38.69, 58.96
29.13, 97.71, 83.11
1.85, 74.69, 4.34
61.95, 80.45, 62.90
12.87, 96.83, 63.17
94.70, 2.66, 6.74
32.28, 98.03, 75.82
28.40, 54.84, 89.41
14.52, 93.41, 89.55
76.03, 36.96, 97.51
21.83, 83.86, 67.24
23.17, 44.67, 18.00
67.75, 99.00, 53.91
25.97, 58.71, 61.28
31.38, 61.25, 31.15
59.40, 22.63, 3.50
13.22, 5.06, 0.56
83.47, 7.93, 69.18
46.61, 73.71, 84.74
91.04, 75.68, 80.33
29.08, 14.02, 16.31
52.81, 47.26, 24.31
1.72, 66.43, 7.22
38.67, 35.26, 33.49
37.52, 86.48, 29.13
92.48, 36.24, 28.20
94.48, 82.44, 32.57
62.09, 23.60, 90.84
75.45, 17.07, 99.82
47.33, 80.05, 33.31
70.52, 28.96, 4.08
89.00, 75.81, 42.45
52.85, 6.03, 99.16
77.00, 86.20, 38.35
48.49, 10.41, 94.37
94.40, 4.77, 37.90
91.86, 94.57, 30.17
