94.93, 4.29, 0.36, 53.05, 81.75, 68.71, 91.65, 19.90, 90.93, 34.63
7.03, 27.32, 47.70, 99.45, 2.87, 41.00, 32.43, 55.38, 89.89, 93.21
22.81, 11.94, 77.28, 67.26, 18.21, 98.76, 74.98, 4.37, 29.19, 76.24
92.77, 74.44, 59.00, 75.31, 61.97, 36.95, 37.14, 79.75, 74.41, 78.28
69.47, 84.47, 24.81, 41.91, 42.64, 29.93, 17.50, 69.23, 64.54, 74.16
98.36, 58.32, 43.77, 0.98, 11.70, 30.60, 58.18, 60.45, 50.35, 9.55
1.96, 85.76, 83.94, 7.33, 87.55, 31.05, 20.34, 66.25, 82.49, 78.68
66.83, 91.78, 32.81, 91.06, 81.86, 47.60, 18.58, 10.06, 6.14, 1.32
65.64, 54.45, 79.97, 16.68, 8.91, 26.42, 86.46, 33.60, 77.56, 52.52
71.18, 67.25, 16.93, 80.79, 45.10, 7.41, 90.04, 19.00, 4.03, 76.13
21.93, 55.34, 77.53, 38.82, 52.25, 59.83, 55.42, 43.12, 6.88, 62.10
97.13, 57.66, 39.84, 66.98, 53.24, 81.76, 31.32, 29.79, 77.60, 1.13
65.71, 95.25, 58.10, 8.04, 97.55, 62.62, 68.19, 44.74, 14.57, 13.93
21.83, 4.55, 83.50, 39.88, 59.29, 0.61, 55.68, 79.68, 23.09, 14.29
80.31, 27.54, 72.45, 5.14, 35.61, 99.29, 67.54, 64.79, 64.85, 40.24
21.67, 13.99, 85.86, 7.60, 99.40, 27.11, 66.71, 11.01, 6.35, 96.96
95.92, 83.18, 49.19, 56.02, 90.11, 35.48, 41.83, 26.64, 12.41, 84.97
28.04, 50.23, 34.62, 56.78, 45.25, 90.89, 50.03, 19.28, 82.46, 90.51
55.37, 13.92, 74.94, 83.70, 66.84, 75.93, 45.79, 33.57, 11.71, 39.88
61.72, 21.65, 98.64, 40.77, 24.51, 69.51, 87.96, 1.01, 72.34, 88.21
